Battery_ID,Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
B00001,165,3.43,3.45,29.2,40.2,47.54,95.33
B00002,386,4.19,3.09,30.0,48.6,46.98,90.41
B00003,303,4.18,3.96,28.8,39.6,46.37,91.79
B00004,1572,4.02,1.46,22.8,92.2,33.49,69.18
B00005,1708,3.3,0.89,27.7,100.9,33.65,66.52
B00006,89,3.59,1.13,25.9,31.6,49.03,99.0
B00007,1957,3.4,1.27,26.0,105.0,30.31,62.06
B00008,1685,3.49,2.28,39.0,98.8,33.77,63.45
B00009,1770,3.86,0.99,47.1,97.9,33.15,59.99
B00010,366,3.75,4.56,29.1,41.7,46.39,90.2
B00011,1932,3.76,4.57,49.3,110.5,30.2,58.35
B00012,54,4.05,3.91,42.4,29.1,50.36,95.42
B00013,305,3.86,3.34,34.6,45.4,47.59,92.07
B00014,1235,4.15,2.94,46.4,83.1,38.31,71.43
B00015,447,3.26,0.75,23.8,45.7,46.17,92.62
B00016,1244,3.72,4.27,39.3,84.5,36.81,73.24
B00017,1267,4.18,0.66,31.1,79.8,37.28,72.8
B00018,772,3.59,1.02,40.7,59.5,42.55,81.08
B00019,1271,3.66,4.35,28.6,85.5,36.46,74.16
B00020,130,3.29,1.13,25.0,39.9,49.59,96.63
B00021,1345,3.91,3.75,35.3,82.5,37.53,72.59
B00022,496,4.19,0.88,27.3,52.1,44.89,88.46
B00023,170,3.82,1.66,23.3,40.1,48.19,94.87
B00024,982,3.77,3.43,35.4,68.0,40.62,80.68
B00025,156,3.93,2.4,23.0,38.0,48.22,97.43
B00026,1018,3.49,1.6,34.6,73.6,40.64,78.97
B00027,715,3.44,0.83,45.1,60.3,42.68,83.12
B00028,650,3.78,0.56,36.4,54.7,43.65,86.87
B00029,958,3.62,2.53,25.0,66.2,40.82,81.73
B00030,540,3.98,4.38,24.0,56.3,44.85,90.08
B00031,572,3.6,1.32,33.1,55.1,43.65,86.74
B00032,877,3.44,2.02,42.4,64.4,40.92,78.92
B00033,649,3.82,2.08,20.7,54.1,43.8,89.06
B00034,321,3.93,1.19,29.0,44.9,46.07,94.34
B00035,376,3.68,1.28,42.9,42.6,47.18,88.06
B00036,1455,3.6,2.89,32.5,90.3,35.47,68.92
B00037,796,3.66,0.64,25.0,65.6,42.84,82.66
B00038,809,3.99,4.22,22.3,60.3,42.51,84.62
B00039,1367,4.17,3.69,21.6,88.3,36.42,73.5
B00040,1727,4.08,2.34,28.1,98.4,32.26,63.31
